ItemID,Sentiment,SentimentText
0,NEGATIVO,Coronavirus: Brasil ya es el cuarto país con más muertos en el mundo https://t.co/TjTFT6I6Cs via @LANACION
1,NEGATIVO,"""Hotel MansiÃ³n AlcÃ¡zar en Cuenca cierra por crisis del coronavirus #ActualidadTuristicaEc https://t.co/yzuN1DZt7C El Universo https://t.co/sKmDjv4vZP"""
2,NEGATIVO,Parece q las personas se olvidaron q aún está el coronavirus en el mundo https://t.co/6sWtkMjV6X
3,NEGATIVO,"se sabe que en el espacio los virus y las bacterias evolucionan de una manera anormal, ahora imagínense que uno de los tripulantes de @SpaceX porte en su sistema coronavirus y que de regreso si no muere, la enfermedad mute y sea aÃºn mÃ¡s mortal."
4,NEGATIVO,Junior de Barranquilla no respalda al DT Julio Comesaña en recurso de amparo contra gobierno colombiano https://t.co/dizecZnLb1 https://t.co/bUiMCvARnW
5,NEGATIVO,"@Vpar_Informa Sin tapabocas y pronuncio gritando las palabras mas transmisoras del coronavirus, Y TTTTTTUU SSSSSSSSIIIII?? :o"
6,NEGATIVO,Ivermectina y el Selenio permitirÃ¡ una convivencia normal con el coronavirus ya que la infecciÃ³n por covid se convertirÃ¡ en leve y pasajera para llegar a tener una poblaciÃ³n completamente inmunizada contra el covid sin ningÃºn sistema de vacunaciÃ³n #ivermectina #selenio #Covid_19
7,NEGATIVO,"se sabe que en el espacio los virus y bacterias evolucionan de una manera anormal, ahora imaginense que uno de los tripulantes de @SpaceX porte en su sistema coronavirus y que de regreso si no muere, la enfermedad mute y sea aÃºn mÃ¡s mortal."
8,NEGATIVO,"#ATENCIÓN | Ya hay seis millones de personas contagiadas de #Covid_19 en el mundo, segÃºn informaciÃ³n de @JohnsHopkins.#Coronavirus #QuÃ©dateEnCasa https://t.co/Ernr3WFzCO"
9,NEGATIVO,Junior de Barranquilla no respalda al tÃ©cnico Julio ComesaÃ±a en recurso de amparo contra gobierno colombiano â–º https://t.co/W9FVPtW8K6 https://t.co/zss0XTM7tP
10,NEGATIVO,"Negros en época de pandemia de Coronavirus haciendo multitudes. Bien dijo Daniel Angulo, son brutos son brutos. https://t.co/Br5e2iXoYP"
11,NEGATIVO,#COVID19 Reportan mÃ¡s de 6 millones de casos de coronavirus en el mundo - https://t.co/SL0z5pAhOX https://t.co/FGgYExW1w9
12,NEGATIVO,ðŸŒŽ #Mundo | MÃ¡s de 6 millones de casos de coronavirus fueron declarados oficialmente en el mundo. Los detalles â¬‡ https://t.co/xuQ46voQnT
13,NEGATIVO,Volvió la Derecha y como en el 2002 Volvio la Crisis La Derecha es Yeta .... Volvimos al Desempleo y al la Baja del Salario de 2002 Todo no puede ser culpa del  Coronavirus... pobrecito Â¿ Estuvo bueno Cambiar ? https://t.co/VBCa8bBnNa
14,NEGATIVO,"Maldito coronavirus, devuÃ©lveme la rutina de antes que al menos no se me estaba CAYENDO LA CARA DEL MAL DORMIR."
15,NEGATIVO,"#SOSEcuador Si NO te MATA el CORONAVIRUS, lo hara, la PANDILLA, del CUANTICO TRAIDOR;, ante las MEDIDAS de OCTUBRE; que se APLICAN; tras PANDEMIA del CORONAVIRUS https://t.co/jB57nyIIWI"
16,NEGATIVO,¿Desean saber cómo los diferentes paí­ses enfrentan el impacto del COVID19 en el mundo del trabajo y la protección social? Miren este enlace de @OITAndina. @CamaraCIP @lacamaragye @prensaceosl @CEDOCUT @GomezlRichard @ibarraserrano  https://t.co/uWdULHzKTW
17,NEGATIVO,"Deibert RomÃ¡n GuzmÃ¡n se convirtiÃ³ en el primer futbolista en perder la vida por coronavirus. El boliviano de 25 aÃ±os jugaba en el club universitario de Beni, y en su momento, fue parte de las selecciones juveniles del paÃ­s andino. #Covid_19 #coronavirus https://t.co/3seSUYwSNu"
18,NEGATIVO,Junior de Barranquilla no respalda al DT Julio ComesaÃ±a en recurso de amparo contra gobierno colombiano https://t.co/RTVNJ2wFat https://t.co/iJb9kbPw6s
19,NEGATIVO,"@Santiagoloach @mbolick03 @eluniversocom Â¿Cucos? Es negar la realidad, pero estoy de acuerdo en que este tema se ha politizado tanto, que supuestos estudios se basan mÃ¡s en lo polÃ­tico que cientÃ­fico. Guttmacher- Lancet ya ha falseado cifras de muertes por abortos Â¿por quÃ© no hacerlo de nuevo? https://t.co/MIEEX1AfME"
20,NEGATIVO,El aviso de Pedro Cavadas sobre el coronavirus que desoyÃ³ el indecente Gobierno https://t.co/OBnXxyOobH a travÃ©s de @ABC_CValenciana
21,NEGATIVO,Durante la emergencia sanitaria las niÃ±as y los niÃ±os pueden estar mÃ¡s expuestos a violencia física y psicológica. La respuesta al COVID-19 debe contar con la dimensiÃ³n de gÃ©nero. #MantenteSegura #RespuestaCOVIDãƒ¼19 #coronavirus #RespuestaFeminista https://t.co/sVgYiAdKIV
22,NEGATIVO,Jugadores del Bayern Munich aceptan nueva reducciÃ³n de sueldos pese a reinicio de la Bundesliga https://t.co/XcHaQeoYbP https://t.co/hBtf3Jrmho
23,NEGATIVO,#Coronavirus: 60 % de dauleÃ±os ya se ha contagiado y eso permite que COE cantonal decida ir a verde â–º https://t.co/gnPLg3LAcz https://t.co/e8MGVqjWMj
24,NEGATIVO,"#Atencion los bucaram daran una rueda de prensa este domingo sobre los actos de corrupcion del cual se les acusa.. ""que cara dura estos miserables,quedaran en ridiculo"" fuente coronavirus ecuador noticias"
25,NEGATIVO,"#Farándula | El músico argentino #CharlyGarcia fue hospitalizado de urgencia en #Argentina :o :o·, con un cuadro febril de 38 grados y dolores corporales. El artista fue sometido a la prueba rÃ¡pida de detecciÃ³n del nuevo coronavirus, resultando negativo. https://t.co/1k5entLDdw"
26,NEGATIVO,al maldito hay que quemarlo con eucalipto #Covid_19 #coronavirus #coronavirusenecuador https://t.co/FBlK4SVy3Y
27,NEGATIVO,Repunte de nuevos positivos por coronavirus: 271 en 24 horas via @el_pais https://t.co/ChbairnQhy
28,NEGATIVO,La OMS lanzó una plataforma para compartir tratamientos gratis y vacunas contra el #coronavirus https://t.co/jyNtaKc9k7
29,NEGATIVO,"Aunque todaví­a no podemos saber a ciencia cierta la relaciÃ³n entre la nicotina y el coronavirus, lo que sÃ­ tenemos claro es que el consumo de tabaco genera que las personas sean mÃ¡s propensas a padecer patologÃ­as respiratorias y puede incrementar la gravedad del COVID-19. https://t.co/UPbopbXUSc"
30,NEGATIVO,"Bueno, y como vamos con la #vacuna del #coronavirus? Ya me tiene arrecho este virus hijueputa!"
31,NEGATIVO,@RebecaSH6 @KimberlyLoaiza_ Esa tipa o tipo tiene tiempo para crearse un perfil falso y andar buscando fotos de una seÃ±ora Diablos coronavirus llÃ©vate a estas personas que no hacen nada a la sociedad solo estorban.
32,NEGATIVO,"#ÚltimaHora | Más de 6 millones de casos de #coronavirus declarados en el mundo (6.000.867), incluidos 366.848 decesos. Europa es el continente más afectado (2.135.170 casos y 177.595 muertos) y Estados Unidos el paÃ­s con mÃ¡s contagios (1.760.740 casos y 103.472 muertos) https://t.co/u6jignQBL1"
33,NEGATIVO,"Ahora SABEN que sí­ tuvo CORONAVIRUS aunque elâ€timingâ€fue sospechoso y su anuncio muy emocional CONOCEN por quÃ© la pandemia seâ€disparÃ³â€en Guayaquil,que la necesidad de la gente pobre en otras ciudades también la ha obligado a salir y demora de @Salud_Ec al actuar fue criminal. 2/2"
34,NEGATIVO,@PaulCasTorres @ChristianCruzLa @davalos2019 @IbethEstupinan @SofiaAlmeidaEc @mrivadeneirac @manababravo @DEFENSORIAEC @MashiRafael Bueno bueno quieres que te diga q ganaste BUEEEENOOO GANASTE SIÃ‰NTETE FELIZ CuÃ­date del Coronavirus
35,NEGATIVO,"Desde hace aproximadamente una semana, el nÃºmero de nuevos casos diarios por #coronavirus se ha estabilizado en torno a los 100.000, y el de muertos supera los 4.000 por jornada. Â» https://t.co/ufoVyDroxM #Covid_19"
36,NEGATIVO,#URGENTE | #ECUADOR #Militares que sepultaron #muertos por #coronavirus en Guayaquil reciben #terapias psicolÃ³gicas. https://t.co/49jxiw6e2C
37,NEGATIVO,"En Ecuador por la pandemia el pueblo EN SEMÃFORO COLOR ROJO,  POR LA PANDEMIA LOS ROBOS EN EL GOBIERNO EL SEMÃFORO EN COLOR VERDE, si esta pandemia de pandilleros no nos ha matado,el coronavirus es un juego de niños."
38,NEGATIVO,"@LuchoBaldeon Por tipos como vos es que quisiera que el fÃºtbol se lo llevara el coronavirus y desapareciera, es el mejor deporte pero para practicarlo uno mismo, no para estar con las tonterÃ­as de ser hincha de un equipo y sentirse importante por eso"
39,NEGATIVO,Por eso están como están con el coronavirus :( https://t.co/szX5hovNX2
40,NEGATIVO,#Mundo: España registra 664 casos nuevos de coronavirus mientras las muertes ascienden a 27 125 || Diario El Comercio || https://t.co/7GxENxoLom https://t.co/MjxmgxdbcX
