,0
0,"Coronavirus en Argentina: 5 controversias de la estricta cuarentena en el país sudamericano, que ya es más larga que la de Wuhan – BBC News Mundo https://t.co/C8LlQQzFX0"
1,"Continúa la polémica por las cifras del coronavirus en Brasil: la Universidad Johns Hopkins sacó al país de su monitoreo

https://t.co/QWBKp50tjL https://t.co/RnDeIdMjDd"
2,"Aquí les dejo el link  https://t.co/kTuoPA3r2t de 
Johns Hopkins University en donde  pueden visualizar los casos de coronavirus reportados en tiempo real.

 #Covid_19 #coronavirusenEcuador
#coronavirus #sabadodecuarentena
#cuarentena #DDay"
3,"Premier League: Los equipos limpios de #coronavirus de cara al reinicio de la temporada

Más detalles 👉🔗 https://t.co/7POmBEX4BF"
4,"Un prestigioso médico israelí aseguró que las redes sociales generaron “una reacción histérica” contra el coronavirus, al que describió como “solo otra epidemia de gripe” https://t.co/DxqGWs3tWO"
5,@eluniversocom Y qué pasó con la mentira del coronavirus ? Mágicamente desapareció ?
6,"Acusan a gobierno brasileño de ""invisibilizar"" los muertos de coronavirus https://t.co/sDob16sjbu a través de @YahooNoticias"
7,"@RogerRodri No, no es cura para el Coronavirus. Es antídoto para contrarrestar los males espirituales y como elixir de fortaleza en la convalecencia."
8,"Coronavirus: acusan al gobierno de Brasil de querer ""invisibilizar"" los muertos https://t.co/yIAv8vJPio via @LANACION"
9,#Ecuador: Salinas pasará a semáforo amarillo desde el lunes 8 de junio; acceso a las playas sigue prohibido || Diario El Comercio || https://t.co/YBZlcUgCOs https://t.co/K08D1AODFv
10,"Acusan a gobierno brasileño de ""invisibilizar"" los muertos de coronavirus https://t.co/pMCL8q3uI6"
11,@heleana @amancent77 @Gingonvas El CDC va x esa línea también enfocado en la desinfección d superficies y normas de higiene personal no tanto en ropa o calzado (https://t.co/VXQGdK8vSB )Sobre el semáforo: no todos pueden vivir en cuarentena. Sobre el termómetro: se jode todo si pasa 1 asintomático
12,"🚨 #ATENCIÓN | El número de fallecidos por coronavirus ascendió a 3.608 en Ecuador, donde la cifra de contagios confirmados totaliza 42.728, es decir 622 casos en las últimas 24 horas.

⏳ 2.429 fallecidos probables por COVID-19.
📝 En Tungurahua: 77 muertos y 595 contagios. https://t.co/nWcsdh5Xuq"
13,"Quiero dejarles este artículo que habla sobre el ""Coronavirus y tiempos de Crisis"", desde una perspectiva del psicoanálisis. Escrito por mi hermana María José Baquerizo, Master en Psicoanálisis y Psicopatología. Dediquenle unos minutos, vale la pena. https://t.co/SybdFsSGPX"
14,NI POR HABER CREADO EL PROYECTO PARA COLOCAR UNA CAMARA HIPERBARICA EN EL H CEIBOS FUI SACADO DE LA JEFATURA DE ER. LA CORRUPCION NUESTRO MORTAL ENEMIGO. Un hospital de Moscú emplea cámaras de alta presión para tratar el coronavirus https://t.co/Yxk9kkbzzS a través de @ABC_Mundo
15,"@amancent77 @heleana @Gingonvas https://t.co/IaUmSE2evO lo dejo para el debate. Cada uno tome las precauciones que mejor le plazca. Eso sí, teniendo en cuenta que un termómetro a la entrada no es garantía dados los casos asintomáticos."
16,"📞Si tiene síntomas o dudas del #Coronavirus COVID-19, contacte con la línea de atención ciudadana al 148. No te automediques y permanecé en su domicilio 

 # QuedateEnCasa 
# CuidarteEsCuidarnos https://t.co/ih4HQQt9pX"
17,"#ATENCIÓN
Mapa de casos detectados por provincia coronavirus en Ecuador. https://t.co/7skCrb0zxT"
18,"🔴A 30 para llegar a los 600 contagios de #Coronavirus en #Cotopaxi, 70 fallecidos (suman 2 del cantón #Latacunga). https://t.co/lKOUI1L1EA"
19,Experto italiano asegura que la carga viral del coronavirus es 100 veces menor que en marzo - https://t.co/bFLX0GlwbO https://t.co/P7euoIJ33P
20,@diego593alvarez @Margari50912543 Corrupción en tiempos de Coronavirus
21,La Premier no registra positivos en coronavirus tras últimas pruebas https://t.co/QBaLerJysM
22,"#URGENTE
1305 casos confirmados de coronavirus en El Oro.
194 fallecidos por COVID-19 en la provincia. https://t.co/YWckUOTe6S"
23,"🔰Rusia hace oficial el lanzamiento de Avifavir, el primer medicamento contra el coronavirus

🚩Rusia ha confirmado que el Ministerio de Salud del país ha aprobado el primer medicamento contra la Covid-19 en el mundo. 

🚩El nombre comercial que ha recibido es Avifavir. https://t.co/GqmNTp20eP"
