,0
0,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
1,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
2,"RT @carolgrillito: ¡ATENTI!

Aquí parte de la desgraciada historia del morenato. 

@Lenin en cambio mintiendo en la @AsambleaEcuador 

http…"
3,"Hoy día, cuando aparecieron virus mortales, y donde nuestras responsabilidades nos lleva a pasar mucho tiempo entre paredes. Ya sea en casa o en el trabajo, es fundamental poder disfrutar de aire limpio y de calidad. ¡SE EL HÉROE EN TU HOGAR, CUIDA TU VIDA! #coronavirus #aire https://t.co/gKCxNxHhfx"
4,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
5,"RT @Expresoec: El inicio del próximo ciclo olímpico previsto para el 2021 quedó aplazado para el 2022, así como el mismo torneo, pero de Ju…"
6,Gracias al coronavirus eh dejado de fumar 2 meses y beber cada fin de semana
7,"RT @Expresoec: #Coronavirus: Decenas de personas aprovecharon la reapertura de algunas iglesias, este 25 de mayo, para visitarlas tras casi…"
8,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
9,"RT @eluniversocom: Pacientes con coronavirus dejan de ser infecciosos después de 11 días, incluso si aún dan positivo en pruebas, sugiere e…"
10,"CUIDADO CON LA SEGUNDA VUELTA CUIDENSE
#coronavirus en Riberas de Batan https://t.co/HOp3XZywMj"
11,"RT @alfaT801: No permiten reunirse, no permiten despedirnos de nuestros muertos por el coronavirus, no permiten abrir parques, no permiten…"
12,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
13,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
14,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
15,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
16,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
17,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
18,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
19,"RT @artumoscoso: ¿Se mueren de ganas de pasar a ""semáforo amarillo""? Lean esto primero. 

#coronavirus #coronavirusecuador   

https://t.co…"
20,#COVID19 - se estima que existen más de 1.7 millones de virus no-identificados en la naturaleza que podrían infectar a la especie humana y podrían ser más letales que el COVID19 - la #Biodiversidad ayuda a disminuir ese riesgo🌊🌐🌳 https://t.co/cUM99FBh6J @wef https://t.co/KPmLrRpN0m
21,"RT @Expresoec: El inicio del próximo ciclo olímpico previsto para el 2021 quedó aplazado para el 2022, así como el mismo torneo, pero de Ju…"
22,"El inicio del próximo ciclo olímpico previsto para el 2021 quedó aplazado para el 2022, así como el mismo torneo, pero de Juventudes de 2020 a 2021. https://t.co/uMRRRjqucj"
23,Coronavirus: los 10 países que más han gastado en enfrentar la pandemia (y cómo se ubican los de América Latina) – BBC News Mundo https://t.co/w8IF7ZVV3x
24,"RT @johannacanizare: Ecuador casos covid19, 25 de mayo: 37.355 contagiados. 3.203 fallecidos por coronavirus y 2.026 con sospecha https://t…"
25,PROHIBICION(AgenciAne)  E.U . .   suspende   entrada a su país de cualquier persona que haya estado en Brasil dentro de los 14 días inmediatamente anteriores al intento de ingreso a Estados Unidos. Brasil es 2°  en todo el mundo con casos de coronavirus.
26,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
27,COVID-19: Pacientes con coronavirus dejan de ser infecciosos después de 11 días https://t.co/KAuosCkDa8 vía @revistavistazo
28,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
29,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
30,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
31,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
32,"RT @carolgrillito: ¡ATENTI!

Aquí parte de la desgraciada historia del morenato. 

@Lenin en cambio mintiendo en la @AsambleaEcuador 

http…"
33,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
34,"RT @Martinminguchi: Aquí el video completo, no la versión cortada y humorística, donde Jaime Vargas habla de la conexión entre la educación…"
35,"RT @Primicias: [DATA] | El 26 de mayo es una fecha clave para el futuro de los habitantes de #Quito. Ese, ha sido señalado por las autorida…"
36,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
37,RT @anniecanizares: 🛑 ALERTA Amazonía: Zona roja de contagios de covid-19 podría sufrir un “impacto desproporcionado”. Los corresponsales d…
38,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
