ItemID,Sentiment,SentimentText
1,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
2,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
3,POSITIVO,RT @carolgrillito: ¡ATENTI!  Aquí parte de la desgraciada historia del morenato.   @Lenin en cambio mintiendo en la @AsambleaEcuador   http…
4,POSITIVO,"Hoy día, cuando aparecieron virus mortales, y donde nuestras responsabilidades nos lleva a pasar mucho tiempo entre paredes. Ya sea en casa o en el trabajo, es fundamental poder disfrutar de aire limpio y de calidad. ¡SE EL HÉROE EN TU HOGAR, CUIDA TU VIDA! #coronavirus #aire https://t.co/gKCxNxHhfx"
5,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
6,POSITIVO,"RT @Expresoec: El inicio del próximo ciclo olímpico previsto para el 2021 quedó aplazado para el 2022, así como el mismo torneo, pero de Ju…"
7,POSITIVO,Gracias al coronavirus eh dejado de fumar 2 meses y beber cada fin de semana
8,NEUTRO,"RT @Expresoec: #Coronavirus: Decenas de personas aprovecharon la reapertura de algunas iglesias, este 25 de mayo, para visitarlas tras casi…"
9,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
10,POSITIVO,"RT @eluniversocom: Pacientes con coronavirus dejan de ser infecciosos después de 11 días, incluso si aún dan positivo en pruebas, sugiere e…"
11,POSITIVO,CUIDADO CON LA SEGUNDA VUELTA CUIDENSE #coronavirus en Riberas de Batan https://t.co/HOp3XZywMj
12,NEUTRO,"RT @alfaT801: No permiten reunirse, no permiten despedirnos de nuestros muertos por el coronavirus, no permiten abrir parques, no permiten…"
13,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
14,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
15,NEGATIVO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
16,NEUTRO,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
17,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
18,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
19,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
20,POSITIVO,"RT @artumoscoso: ¿Se mueren de ganas de pasar a ""semáforo amarillo""? Lean esto primero.   #coronavirus #coronavirusecuador     https://t.co…"
