ItemID,Sentiment,SentimentText
1,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
2,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
3,POSITIVO,RT @carolgrillito: ¡ATENTI!  Aquí parte de la desgraciada historia del morenato.   @Lenin en cambio mintiendo en la @AsambleaEcuador   http…
4,POSITIVO,"Hoy día, cuando aparecieron virus mortales, y donde nuestras responsabilidades nos lleva a pasar mucho tiempo entre paredes. Ya sea en casa o en el trabajo, es fundamental poder disfrutar de aire limpio y de calidad. ¡SE EL HÉROE EN TU HOGAR, CUIDA TU VIDA! #coronavirus #aire https://t.co/gKCxNxHhfx"
5,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
6,POSITIVO,"RT @Expresoec: El inicio del próximo ciclo olímpico previsto para el 2021 quedó aplazado para el 2022, así como el mismo torneo, pero de Ju…"
7,POSITIVO,Gracias al coronavirus eh dejado de fumar 2 meses y beber cada fin de semana
8,NEUTRO,"RT @Expresoec: #Coronavirus: Decenas de personas aprovecharon la reapertura de algunas iglesias, este 25 de mayo, para visitarlas tras casi…"
9,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
10,POSITIVO,"RT @eluniversocom: Pacientes con coronavirus dejan de ser infecciosos después de 11 días, incluso si aún dan positivo en pruebas, sugiere e…"
11,POSITIVO,CUIDADO CON LA SEGUNDA VUELTA CUIDENSE #coronavirus en Riberas de Batan https://t.co/HOp3XZywMj
12,NEUTRO,"RT @alfaT801: No permiten reunirse, no permiten despedirnos de nuestros muertos por el coronavirus, no permiten abrir parques, no permiten…"
13,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
14,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
15,NEGATIVO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
16,NEUTRO,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
17,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
18,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
19,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
20,POSITIVO,"RT @artumoscoso: ¿Se mueren de ganas de pasar a ""semáforo amarillo""? Lean esto primero.   #coronavirus #coronavirusecuador     https://t.co…"
21,POSITIVO,#COVID19 - se estima que existen más de 1.7 millones de virus no-identificados en la naturaleza que podrían infectar a la especie humana y podrían ser más letales que el COVID19 - la #Biodiversidad ayuda a disminuir ese riesgo🌊🌐🌳 https://t.co/cUM99FBh6J @wef https://t.co/KPmLrRpN0m
22,POSITIVO,"RT @Expresoec: El inicio del próximo ciclo olímpico previsto para el 2021 quedó aplazado para el 2022, así como el mismo torneo, pero de Ju…"
23,POSITIVO,"El inicio del próximo ciclo olímpico previsto para el 2021 quedó aplazado para el 2022, así como el mismo torneo, pero de Juventudes de 2020 a 2021. https://t.co/uMRRRjqucj"
24,NEUTRO,Coronavirus: los 10 países que más han gastado en enfrentar la pandemia (y cómo se ubican los de América Latina) – BBC News Mundo https://t.co/w8IF7ZVV3x
25,NEUTRO,"RT @johannacanizare: Ecuador casos covid19, 25 de mayo: 37.355 contagiados. 3.203 fallecidos por coronavirus y 2.026 con sospecha https://t…"
26,NEUTRO,PROHIBICION(AgenciAne)  E.U . .   suspende   entrada a su país de cualquier persona que haya estado en Brasil dentro de los 14 días inmediatamente anteriores al intento de ingreso a Estados Unidos. Brasil es 2°  en todo el mundo con casos de coronavirus.
27,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
28,POSITIVO,COVID-19: Pacientes con coronavirus dejan de ser infecciosos después de 11 días https://t.co/KAuosCkDa8 vía @revistavistazo
29,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
30,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
31,NEUTRO,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
32,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
33,POSITIVO,RT @carolgrillito: ¡ATENTI!  Aquí parte de la desgraciada historia del morenato.   @Lenin en cambio mintiendo en la @AsambleaEcuador   http…
34,NEUTRO,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
35,POSITIVO,"RT @Martinminguchi: Aquí el video completo, no la versión cortada y humorística, donde Jaime Vargas habla de la conexión entre la educación…"
36,POSITIVO,"RT @Primicias: [DATA] | El 26 de mayo es una fecha clave para el futuro de los habitantes de #Quito. Ese, ha sido señalado por las autorida…"
37,NEUTRO,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
38,POSITIVO,RT @anniecanizares: 🛑 ALERTA Amazonía: Zona roja de contagios de covid-19 podría sufrir un “impacto desproporcionado”. Los corresponsales d…
39,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
40,NEUTRO,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
41,POSITIVO,"#MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos luego de once días."
42,NEUTRO,RT @mariferguillen3: Por si acaso él #cacerolazo es contra él hambre y el desempleo. No para rogarle al coronavirus que se vaya o para pedi…
43,NEUTRO,#EmergenciaEc | Estas son las cifras de casos de #coronavirus en #Manabí &gt,&gt,&gt, https://t.co/DJcqNnXaKv https://t.co/tjrPnKukJn
44,POSITIVO,@luisevivanco Señor hay más muertes por infarto que por coronavirus deje de mariconadas y de defender a su patrón que para morirse uno no necesita que no se aglomeren.
45,NEUTRO,Salí y caminé 2km sii solo 2km y me estoy muriendo ya me duele todo y no por el covid 😖😖. Tantos días de cuarentena ya me oxidaron 😩 #coronavirus #covid
46,POSITIVO,RT @carolgrillito: ¡ATENTI!  Aquí parte de la desgraciada historia del morenato.   @Lenin en cambio mintiendo en la @AsambleaEcuador   http…
47,NEUTRO,#EmergenciaEc | Estas son las cifras de casos de #coronavirus en #Manabí &gt,&gt,&gt, https://t.co/jAq1TdcV69 https://t.co/IzVHrJK6Yw
48,NEUTRO,Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
49,POSITIVO,RT @radio_sucre700: #Colombia 🇨🇴 registra 806 nuevos casos de #coronavirus y ya suma 21.981 contagios. #Bogotá es el distrito más afectado…
50,NEUTRO,#EmergenciaEc | Estas son las cifras de casos de #coronavirus en #Manabí &gt,&gt,&gt, https://t.co/pPr9yPKfsS https://t.co/Nd3cMHK8Gw
51,POSITIVO,"RT @Martinminguchi: Aquí el video completo, no la versión cortada y humorística, donde Jaime Vargas habla de la conexión entre la educación…"
52,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
53,NEUTRO,"RT @Martinminguchi: Las cifras de Medellín asombran. En todo el departamento de Antioquia, que tiene 6,4 millones de habitantes hay, hasta…"
54,NEGATIVO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
55,NEGATIVO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
56,NEUTRO,"RT @Expresoec: Ecuador sigue luchando no solo contra el #coronavirus, sino  contra una pandemia paralela, la presunta corrupción: https://t…"
57,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
58,POSITIVO,El arroz levanta un récord de consumo https://t.co/Ge1bdbPdeg
59,POSITIVO,"RT @eluniversocom: Pacientes con coronavirus dejan de ser infecciosos después de 11 días, incluso si aún dan positivo en pruebas, sugiere e…"
60,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
61,POSITIVO,RT @eluniversocom: Coronavirus: Cuenca cumple su primer día en semáforo amarillo con reanudación de los recorridos del Tranvía y reapertura…
62,NEGATIVO,"@LaPosta_Ecu este alcohólico esta enfermo, ve a Correa hasta en el coronavirus, borracho despreciable ya estas con delirium tremens"
63,POSITIVO,RT @PaolaVintimilla: Quito supera a Guayaquil en contagios diarios.  https://t.co/EZabztMWSg
64,NEUTRO,"Ecuador casos covid19, 25 de mayo: 37.355 contagiados. 3.203 fallecidos por coronavirus y 2.026 con sospecha https://t.co/4F42UWsmon a través de @TuVozTV"
65,NEUTRO,CORONAVIRUS!!!!!! HAZ LO TUYO .... https://t.co/MDmxgELCds
66,NEUTRO,"RT @GuayaquilPR: Malecon 2000 reanudó sus actividades en el área comercial, zona de parqueos y patios de comida luego de más de dos meses d…"
67,NEUTRO,RT @Expresoec: La  Espol se suma a la búsqueda mundial de la vacuna contra el coronavirus: https://t.co/DCT8PXtixq
68,NEUTRO,"RT @Martinminguchi: Las cifras de Medellín asombran. En todo el departamento de Antioquia, que tiene 6,4 millones de habitantes hay, hasta…"
69,NEUTRO,RT @ChristianSuzuki: 71 días de emergencia y solo una política fallecida en Ecuador... que ineficiencia la del coronavirus para llevarse a…
70,NEUTRO,"RT @Martinminguchi: Las cifras de Medellín asombran. En todo el departamento de Antioquia, que tiene 6,4 millones de habitantes hay, hasta…"
71,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
72,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
73,NEUTRO,RT @KinttoLucas: El coronavirus y la lucha global anticapitalista... Por Kintto Lucas... En ALAI: https://t.co/qnyUVAH0zW
74,POSITIVO,"Fernando Donoso, presidente de la Cámara Marítima del Ecuador, conversa con EXPRESO sobre el trabajo de las terminales portuarias y las líneas navieras durante la pandemia por #COVID19Ec. https://t.co/0Rg7zXZCN8"
75,POSITIVO,"#Colombia 🇨🇴 registra 806 nuevos casos de #coronavirus y ya suma 21.981 contagios. #Bogotá es el distrito más afectado del país, con 7.386 infectados.  🔻5.265 pacientes recuperados    🔻750 fallecidos  #SucreEnLaNoticia https://t.co/pyznI9Ajnz"
76,NEUTRO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
77,POSITIVO,"RT @artumoscoso: ¿Se mueren de ganas de pasar a ""semáforo amarillo""? Lean esto primero.   #coronavirus #coronavirusecuador     https://t.co…"
78,NEUTRO,"RT @espol: Diario @Expresoec destaca la labor del Laboratorio para Investigaciones Biomédicas de #ESPOL, en el cual se desarrolla un protot…"
