ItemID,Sentiment,SentimentText
1,NEGATIVO,Con el amor de mi vida que no tengo lol
2,NEGATIVO,Ya se de donde salen las solteronas amargadas con gatos. Csm #LOL
3,NEGATIVO,@katinavitamina Mi papá me dijo que eso me va a dar a mi y les voy a terminar matando a todos v: LOL
4,NEGATIVO,@KristelArianaF LOL esas “experiencias” mantienen activa la economía. Pero la seño cree que la economía solo funciona teniendo bebés.
5,NEGATIVO,Y tiene TOTS ese tonto. Lol
6,NEGATIVO,"No puedes generar voluntad en las personas, más fácil es hacer que jueguen DOTA en vez de LOL"
7,NEUTRO,"@magner_aguirre @EstebanNoboaC @juancarreno_ Lol nadie espera eso, pero reconocer que no es una serie diversa esta bien"
8,NEGATIVO,@twicejours Nunca se lo hice lol y ella me lo hizo
9,NEGATIVO,"Y yo estaba digamos que feliz ya que era mi cumpleaños y dije bueno esperemos que hoy será un día feliz pero pummm me llama mi hermana diciéndome que mi abuelita estaba demasiado delicada y que debía ir rapido para poder despedirme, en ese entonces estaba con mi ex lol"
10,NEGATIVO,Quien iba a decir que a mí tía le gusta Kuday. Lol
11,NEUTRO,Mi objetivo es hacer que cada vez más amigos míos comiencen a jugar lol xd
12,NEGATIVO,@SrChidori @mrborjacr @benjyfishygod @iamrafita1 @Ampeterby7 @TheGrefg @Goorgo De hecho sí que te han retratado LOL
13,NEGATIVO,Lol una vez jugué con ellos xd https://t.co/CXJIKkyHgW
14,NEGATIVO,@Carlozczykowsky Ojalá sea la regla lol paro no tan paro🤐
15,NEUTRO,"@andromeda827 que práctico tbh, con hombres es un poco más complicado (igual jamás es excusa lol)"
16,NEGATIVO,@pamelanunez98 LOL no me habia dado cuentaa jajaja es que tengo dos versiones guardadas en mi spotify
17,NEUTRO,@Alejand72277238 @tutiofifa @YouTube Si a mi también creo se lo va hacer diariamente lol
18,NEGATIVO,"@PlumeriaRubra_ HAHAHAHAHA esa hp es relajo, y yo sé que si bb, ahorita me voy a poner a hacer pasteles y braunis, y mierdas así con mi hermano que le agarró por comprar mil moldes y ha pasado las últimas dos semanas bakeando pasteles de zanahoria, le anda picando un poquito el qlo lol"
19,NEGATIVO,@MaJoseArmijos Ya me vi regalando el ps5 lol
20,NEGATIVO,"@EstebanNoboaC @juancarreno_ No creo que mi abuelo sea un ejemplo de lo correcto lol, pero tu no eres abuelo y tienes mentalidad de 1950 🤷🏻‍♂️ Happy Pride Esteban🏳️‍🌈✨"
21,NEGATIVO,"@iVinuezaS Tlavwz dejes de llorar si lo repites mucho, eso me pasó De igual ahora que lo volvi a ver despues de tiempo volvi a llorar lol"
22,NEGATIVO,"lol, a los ingenieros de sistema no les gusta que uno entienda a veces ciertas cosas mejor que ellos"
23,NEGATIVO,@turcacat Tu mejor shhh lol
24,NEGATIVO,@ADAC6991 @lollatam Lol rlly? Hahahaha si los supports están bien ahora
25,NEGATIVO,"Media noche, todas las luces apagadas, fui a dejar mi celular cargando y veo desde la ventana a especie de criatura humanoide en la puerta del cerco de mi casa mirando fijamente en donde estaba yo, luego de unos minutos de mirarlos se volteo y se fue. Lol https://t.co/HXTQ1NwOIT"
26,NEGATIVO,JAJAJA LOL https://t.co/cGy451dsDt
27,NEGATIVO,Creo que muchos live de Lol en tan pocos días 😍😍😍
28,POSITIVO,https://t.co/oN9Jx9zd5O Vamo a darle un poco de salsa al lol 🤙🏻🤙🏻👾👾
