ItemID,Sentiment,SentimentText
1,NEUTRO,RT @GKecuador: Para hacer una mascarilla de tela que cumpla con las regulaciones del CDC se necesitan: - Dos rectángulos de tela de 25x15cm…
2,POSITIVO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
3,POSITIVO,"#COVID19 | Entre los días 14 y 23 de mayo se llevaron a cabo más de 6,57 millones de test como parte de una campaña de detección iniciada después de que un pequeño rebrote pusiera en alerta a las autoridades tras varias semanas sin registrar contagios.  https://t.co/HN0dVPqXo8"
4,POSITIVO,RT @wilfridolaz: ¿En serio? Lo pide el que ha co-gobernado con Lenín Moreno y que con CREO votaron juntitos de la mano a favor de esa nefas…
5,POSITIVO,"RT @alfaT801: No permiten reunirse, no permiten despedirnos de nuestros muertos por el coronavirus, no permiten abrir parques, no permiten…"
6,NEUTRO,#ECUADOR  INICIÓ EL PARO EN MEDIO DE LA PANDEMIA DEL #COVID_19   Cientos de ecuatorianos vencieron el miedo de contagiarse de coronavirus y salieron a las calles para que no se den más despidos en el sector público y… https://t.co/FdpmpCZ5Zd
7,POSITIVO,"RT @el_telegrafo: Suecia supera los 39 fallecidos por 100 mil habitantes debido al #coronavirus, causante de la enfermedad #covid_19, lo qu…"
8,POSITIVO,"RT @Expresoec: #COVID19 | Entre los días 14 y 23 de mayo se llevaron a cabo más de 6,57 millones de test como parte de una campaña de detec…"
9,POSITIVO,RT @teleamazonasec: Una sola persona habría contagiado el #coronavirus a otras 203 en #Guatemala https://t.co/BivcZs3Ecy
10,NEUTRO,RT @futurodigital: URGENTE 😱 Más de 100 mil muertos por #Covid19usa  en USA. Defiéndete del #Coronavirus con DEFEND y MIND https://t.co/7p1…
11,POSITIVO,RT @Expresoec: La  Espol se suma a la búsqueda mundial de la vacuna contra el coronavirus: https://t.co/DCT8PXtixq
12,NEUTRO,"RT @Martinminguchi: Aquí el video completo, no la versión cortada y humorística, donde Jaime Vargas habla de la conexión entre la educación…"
13,NEUTRO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
14,POSITIVO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
15,POSITIVO,"RT @ntubay: La @espol también va tras una vacuna contra el Covid-19.  Más que a la competencia global, apunta a crear una plataforma para p…"
16,NEUTRO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
17,POSITIVO,"Así como en Colombia! Que para ingresar tenía que responder bajo ""Juramento""  Ejemplo: ¿Tiene coronavirus? ¡No papi te lo juro!  Bueno puedo pasar... https://t.co/Dib3LotKrJ"
18,POSITIVO,"RT @Expresoec: La letalidad del coronavirus en #Quito se ha incrementado en un 226 %, desde el pasado 14 de mayo. Los detalles. ⬇️"
19,NEUTRO,"RT @eluniversocom: Inversión de 1000 millones de dólares en Salud alista Ecuador en caso de un rebrote de coronavirus, dice embajador Crist…"
20,NEUTRO,"RT @eluniversocom: Pacientes con coronavirus dejan de ser infecciosos después de 11 días, incluso si aún dan positivo en pruebas, sugiere e…"
21,NEGATIVO,RT @Expresoec: Sigue el avance de las noticias más destacas sobre el #coronavirus en Ecuador y el mundo con el minuto a minuto de EXPRESO. 🔽
22,NEUTRO,RT @servifumi: ¡A PRUEBA DE TODO TIPO DE PLAGA! ⚠️🦸‍♂️¡DESINFECTAMOS TUS ESPACIOS Y VEHÍCULOS! -- ¡EVITA MOLESTIAS A FUTURO! 16 años en ser…
23,NEUTRO,RT @CTwitteado: Ojo con el #coronavirus .
24,POSITIVO,"Comercio y turismo pierden más de 500,000 mdp en mayo por coronavirus: Concanaco https://t.co/1OVlTsqj00 https://t.co/K1vZv3lTKL"
25,NEUTRO,"RT @Expresoec: #Coronavirus: Decenas de personas aprovecharon la reapertura de algunas iglesias, este 25 de mayo, para visitarlas tras casi…"
26,NEUTRO,"RT @Martinminguchi: Las cifras de Medellín asombran. En todo el departamento de Antioquia, que tiene 6,4 millones de habitantes hay, hasta…"
27,POSITIVO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
28,NEUTRO,➮ HOY lunes 25 #Mayo así el panorama en #Pomasqui la #MitadDelMundo y en la Av. #RealAudiencia norte de #Quito 📸 menos vehículos 🚗🚙 y gente con mascarilla 😷🚴🏼‍♂️👏🏼  #Coronavirus 🦠 #Ecuador 🇪🇨 https://t.co/FIDwtt8Egk
29,POSITIVO,"RT @eluniversocom: Inversión de 1000 millones de dólares en Salud alista Ecuador en caso de un rebrote de coronavirus, dice embajador Crist…"
30,POSITIVO,"RT @Expresoec: #COVID2019ec: En marzo se contagiaron 51 menores. La cifra crece en mayo, pero en relación con el universo de los enfermos,…"
31,POSITIVO,"RT @Expresoec: #Coronavirus: Decenas de personas aprovecharon la reapertura de algunas iglesias, este 25 de mayo, para visitarlas tras casi…"
32,POSITIVO,"RT @revistavistazo: #MUNDO | Personas que habían tenido resultados positivos en pruebas de Coronavirus, dejaron de ser agentes infecciosos…"
33,POSITIVO,"RT @espol: Diario @Expresoec destaca la labor del Laboratorio para Investigaciones Biomédicas de #ESPOL, en el cual se desarrolla un protot…"
34,POSITIVO,RT @GKecuador: Para hacer una mascarilla de tela que cumpla con las regulaciones del CDC se necesitan: - Dos rectángulos de tela de 25x15cm…
35,POSITIVO,RT @JuanPablo_Alban: Coronavirus | De enfermedad respiratoria a multisistémica: cómo en pocas semanas cambió radicalmente lo que sabemos so…
36,NEUTRO,"RT @elnorteadiario: #Carchi está en emergencia vial, así lo oficializó el COE provincial. 🛣 La declaración se tras analizar la crítica situ…"
37,NEUTRO,RT @CarlosVerareal: Alarmante aumento de casos de coronavirus en Quito | Ecuavisa // Qué falló allá? https://t.co/AFV332OShM
38,NEUTRO,"RT @eluniversocom: Con semáforo amarillo, el transporte urbano e interparroquial en Ambato retomó sus recorridos habituales. ► https://t.co…"
39,NEUTRO,RT @carlospanchi2: SISTEMA DE LAVAMANOS ANTI COVID-19🚰🚫🦠  Para prevenir el coronavirus es importante lavar tus manos frecuentemente AUTOMAT…
40,NEGATIVO,"RT @Manuel_EGP: @EcuavisaInforma Que la Rosa de Guadalupe meta otra vez los carros a la pista del aeropuerto José Joaquín de Olmedo, lo mal…"
41,POSITIVO,"RT @manabi_noticias: #URGENTE | #MANABÍ #Portoviejo empieza a olvidar que el #coronavirus es mortal.  Así vive la ciudad, haciéndole muecas…"
