ItemID,Sentiment,SentimentText
1,POSITIVO,@jacquiver Tuve el placer de correr algunas veces junto a este monstruo de la velocidad mundial en Ecuador. Felicidades Jackson!
2,POSITIVO,"@BlackYellow1891 En el cagon del siglo donde hay más cemento que gente JAJAJAJA no es maltrato, es saber copar y plantarse, esta vez sin correr hasta las villas, saludos."
3,POSITIVO,"Una bella anécdota de profesión es ser piloto de carreras. La mayoría de ellos lo hacen gratis e incluso pagan por correr por el amor a su deporte. Así deberían ser los políticos en #Ecuador hacerlo por amor a su país, no por una enfermiza idea de hacerse rico de un día para otro"
4,POSITIVO,Juré nunca ser padrastro pero ver correr a ese niño como naruto gano mi corazón https://t.co/9YDb6B1tbq
5,POSITIVO,@VCTORGMEZBRAVO1 Mejor  venga   a correr los  14 k  acá  a Quito en la  Carolina..
6,POSITIVO,"@ValenZarateM X2 yo hasta he soñado en estos días en los lugares donde solía ir a comer con amigos, el hermoso parque el retiro donde salía a correr,hasta recuerdo cómo amanecía en verano cerca de la puerta de Alcalá, Madrid es hermosa 😻"
7,POSITIVO,"@MellarkElle @Aster_THG Ya está, ya está, peque, -susurro cuando nos oculto en un portal, lo bastante lejos de todo. Tengo el cuerpo destrozado de correr tanto pero desde aquí el barullo es solo un rumor y sé que mi hijo está a salvo aunque con un susto enorme. ""¿Y mamá?"" Pregunta, haciendome la +"
8,POSITIVO,"@MellarkElle @Aster_THG -No paro de correr y empujar. Todo es horror y gritos. Tiro de mi hijo con brusquedad porque aunque le haga daño al caer en mis brazos es mejor que que siga en mis hombros si tropiezo o me caigo. Pero mi cuerpo no está en modo normal, está en modo supervivencia y en ese modo +"
9,POSITIVO,"@LuisHannaNader Hermoso mensaje , tal cual. Correr cuando menos ganas tengas ... 👌🏽"
10,NEUTRO,@LuisHannaNader Primo yo debería correr siempre!@ jajajaj
11,POSITIVO,Nunca te amará nadie si no eres capaz de correr el riesgo de que algunos te aborrezcan
12,NEGATIVO,"@EAyalaMora Como elector prefiero correr el riesgo, aunque tomaré todas las precauciones al momento de asistir a las urnas, no se debe postergar las elecciones y seguir soportando un gobierno miserable que ha demostrado hasta el cansancio ser PEOR que el COVID 19."
13,POSITIVO,"“Aún hay fuego en tu alma, aún hay vida en tus sueños... No te rindas porque la vida es eso, continuar el viaje, perseguir tus sueños, destrabar el tiempo, correr los escombros y destapar… https://t.co/BnSxSOS93a"
14,NEUTRO,Nunca más llevaré las llaves cuando salga a correr 🙁🤭 se me perdieron Hp 🤣🤣🤣🤣
15,NEUTRO,Correr con mascarilla no lo recomiendo. https://t.co/pGbaA751tZ
16,NEUTRO,@lualsilver Correr con mascarilla no lo recomiendo.
17,NEUTRO,"@KarlaRivadenei1 El secreto no es correr detrás de las mariposas, es cuidar el jardín para que ella vengan a tí. 🙃"
18,NEUTRO,Quiero reir llorar No puedo respirar Correr a ti  Decirte lo que siento 😪
19,POSITIVO,"🍏 “Si no puedes volar, corre, si no puedes correr, camina, si no puedes caminar, gatea. Sin importar lo que hagas, sigue avanzado hacia adelante.” - Martin Luther King Jr"
20,NEUTRO,"Cosas que se extrañan, las hamburguesas del colorado, salir a correr a Samanes.. Tomar una cerveza los viernes en la noche con algún pana.."
21,POSITIVO,"@BlackYellow1891 @AgustinAbelUs @sebas7sal @LigaTono @DiablillodeCap @rodrigooaguirre @damifrascarelli @Prensamonayputa Nos vemos pronto penadoy, difícil que vuelvan a Guayaquil, quedaron con mucha diarrea así que pronto estaremos allá, sin correr y sin tiros, decile a liga más 10 en e historial, saludos"
22,NEUTRO,"@VillaFernando_ @Cecimiosotis1 Típico de ratas.miserables, robar robar y luego correr al imperio"
23,POSITIVO,"@BlackYellow1891 @sebas7sal @LigaTono @DiablillodeCap @rodrigooaguirre @damifrascarelli @Prensamonayputa @LDU_Oficial @CancionesBolso @Nacional Antes de esa copa sabes donde estaban? Ni existían, no se sentaban ni para discutir de historia pero dale vos anda con un descendido de segunda, nos vemos pronto pero sin correr, dile a liga que hijos morirán +10. Saludos penadoy"
24,NEUTRO,@pauladelgadoL Yo también me voy a correr luego un ceviche de cuy 🤤🤤🤤🤤🤤🤤
