,0
0,@VCTORGMEZBRAVO1 Mejor  venga   a correr los  14 k  acá  a Quito en la  Carolina..
1,"@ValenZarateM X2 yo hasta he soñado en estos días en los lugares donde solía ir a comer con amigos, el hermoso parque el retiro donde salía a correr,hasta recuerdo cómo amanecía en verano cerca de la puerta de Alcalá, Madrid es hermosa 😻"
2,"@MellarkElle @Aster_THG Ya está, ya está, peque, -susurro cuando nos oculto en un portal, lo bastante lejos de todo. Tengo el cuerpo destrozado de correr tanto pero desde aquí el barullo es solo un rumor y sé que mi hijo está a salvo aunque con un susto enorme. ""¿Y mamá?"" Pregunta, haciendome la +"
3,"@MellarkElle @Aster_THG -No paro de correr y empujar. Todo es horror y gritos. Tiro de mi hijo con brusquedad porque aunque le haga daño al caer en mis brazos es mejor que que siga en mis hombros si tropiezo o me caigo. Pero mi cuerpo no está en modo normal, está en modo supervivencia y en ese modo +"
4,"@LuisHannaNader Hermoso mensaje , tal cual. Correr cuando menos ganas tengas ... 👌🏽"
5,@LuisHannaNader Primo yo debería correr siempre!@ jajajaj
6,Nunca te amará nadie si no eres capaz de correr el riesgo de que algunos te aborrezcan
7,"@EAyalaMora Como elector prefiero correr el riesgo, aunque tomaré todas las precauciones al momento de asistir a las urnas, no se debe postergar las elecciones y seguir soportando un gobierno miserable que ha demostrado hasta el cansancio ser PEOR que el COVID 19."
8,"“Aún hay fuego en tu alma, aún hay vida en tus sueños... No te rindas porque la vida es eso, continuar el viaje, perseguir tus sueños, destrabar el tiempo, correr los escombros y destapar… https://t.co/BnSxSOS93a"
9,Nunca más llevaré las llaves cuando salga a correr 🙁🤭 se me perdieron Hp 🤣🤣🤣🤣
10,Correr con mascarilla no lo recomiendo. https://t.co/pGbaA751tZ
11,@lualsilver Correr con mascarilla no lo recomiendo.
12,"@KarlaRivadenei1 El secreto no es correr detrás de las mariposas, es cuidar el jardín para que ella vengan a tí. 🙃"
13,"Quiero reir llorar
No puedo respirar
Correr a ti 
Decirte lo que siento
😪"
14,"🍏 “Si no puedes volar, corre, si no puedes correr, camina, si no puedes caminar, gatea. Sin importar lo que hagas, sigue avanzado hacia adelante.” - Martin Luther King Jr"
15,"Cosas que se extrañan, las hamburguesas del colorado, salir a correr a Samanes.. Tomar una cerveza los viernes en la noche con algún pana.."
16,"@BlackYellow1891 @AgustinAbelUs @sebas7sal @LigaTono @DiablillodeCap @rodrigooaguirre @damifrascarelli @Prensamonayputa Nos vemos pronto penadoy, difícil que vuelvan a Guayaquil, quedaron con mucha diarrea así que pronto estaremos allá, sin correr y sin tiros, decile a liga más 10 en e historial, saludos"
17,"@VillaFernando_ @Cecimiosotis1 Típico de ratas.miserables, robar robar y luego correr al imperio"
18,"@BlackYellow1891 @sebas7sal @LigaTono @DiablillodeCap @rodrigooaguirre @damifrascarelli @Prensamonayputa @LDU_Oficial @CancionesBolso @Nacional Antes de esa copa sabes donde estaban? Ni existían, no se sentaban ni para discutir de historia pero dale vos anda con un descendido de segunda, nos vemos pronto pero sin correr, dile a liga que hijos morirán +10. Saludos penadoy"
19,@pauladelgadoL Yo también me voy a correr luego un ceviche de cuy 🤤🤤🤤🤤🤤🤤
20,"Ese Salcedo es solo UN Salcedo... Cuántos ""Salcedos"" habrá???? Les ha salido tan mal la jugada y ahora empiezan a salir a correr a esconderse como RATAS. Si como las ratas que son. Pensemos. CUANTOS SALCEDOS HABRÁ EN TODO EL SISTEMA POLÍTICO DE ESTE GOBIERNO????"
21,El arquero de Vélez Sarsfield sale a correr alrededor de un parque en Buenos Aires para estar en buena forma física.
22,"canciones de The Strokes be like:
voy a correr a declararme al amor de mi vida mientras salen flashbacks de todo lo que hemos pasado"
